sample,time,s,sDot,sDDot,sDDDot,arcLength,tcpSpeed,px,py,pz,qw,qx,qy,qz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,positionError,orientationError,ikIterations
19,0.950000000000,0.125000000000,0.200000000000,0.000000000000,0.000000000000,0.062500000000,0.100000000000,-0.359462121751,-0.451955508345,0.234227540927,0.312522895197,0.576746170713,-0.100337759621,0.748081298082,0.581054594835,-0.877638360966,1.226761054471,0.331422637428,-0.523503861242,0.735805053773,0.099756041048,-0.131759236480,0.258335302817,-0.005844990036,0.003997275893,-0.091029539063,7.927642380121e-05,6.864098881825e-05,7
20,1.000000000000,0.135000000000,0.200000000000,0.000000000000,0.000000000000,0.067500000000,0.100000000000,-0.354462121751,-0.451955508345,0.234227540927,0.311181452794,0.575888417645,-0.099687839239,0.749387061916,0.586075157489,-0.884166865560,1.239572993153,0.331216362733,-0.523288689731,0.731202225069,0.101075871326,-0.129395710559,0.254188811891,-0.002415902297,0.004608239576,-0.093109689728,7.928496273399e-05,6.864410716111e-05,7
21,1.050000000000,0.145000000000,0.200000000000,0.000000000000,0.000000000000,0.072500000000,0.100000000000,-0.349462121751,-0.451955508345,0.234227540927,0.309838559469,0.575027979426,-0.099037454050,0.750689331640,0.591162181968,-0.890577932022,1.252179935660,0.331181047199,-0.523043037285,0.726494084801,0.102414581509,-0.127060000647,0.250132394891,0.000995237208,0.005216215899,-0.095242569807,7.929320072696e-05,6.864733210321e-05,7
22,1.100000000000,0.155000000000,0.200000000000,0.000000000000,0.000000000000,0.077500000000,0.100000000000,-0.344462121751,-0.451955508345,0.234227540927,0.308494221483,0.574164860068,-0.098386607087,0.751988101183,0.596316615640,-0.896872865625,1.264586232642,0.331315886453,-0.522767068141,0.721677968088,0.103772301559,-0.124748792213,0.246160158543,0.004392030825,0.005820592775,-0.097429317898,7.930115687077e-05,6.865068627042e-05,7
23,1.150000000000,0.165000000000,0.200000000000,0.000000000000,0.000000000000,0.082500000000,0.100000000000,-0.339462121751,-0.451955508345,0.234227540927,0.307148445105,0.573299063595,-0.097735301384,0.753283364487,0.601539412124,-0.903052811243,1.276795951514,0.331620250281,-0.522460978007,0.716751153011,0.105149151023,-0.122458974327,0.242266646191,0.007777852227,0.006420722883,-0.099671075767,7.930884852914e-05,6.865415347255e-05,7
24,1.200000000000,0.175000000000,0.200000000000,0.000000000000,0.000000000000,0.087500000000,0.100000000000,-0.334462121751,-0.451955508345,0.234227540927,0.305801236610,0.572430594045,-0.097083539978,0.754575115515,0.606831530742,-0.909118763058,1.288812897261,0.332093671676,-0.522124995853,0.711710860512,0.106545238192,-0.120187621870,0.238446799273,0.011155864560,0.007015922249,-0.101968985556,7.931629150947e-05,6.865775309696e-05,7
25,1.250000000000,0.185000000000,0.200000000000,0.000000000000,0.000000000000,0.092500000000,0.100000000000,-0.329462121751,-0.451955508345,0.234227540927,0.304452602278,0.571559455466,-0.096431325908,0.755863348243,0.612193935943,-0.915071573430,1.300640631442,0.332735836737,-0.521759385782,0.706554254455,0.107960659221,-0.117931979990,0.234695923246,0.014529036083,0.007605468815,-0.104324186661,7.932350021400e-05,6.866148512283e-05,7
26,1.300000000000,0.195000000000,0.200000000000,0.000000000000,0.000000000000,0.097500000000,0.100000000000,-0.324462121751,-0.451955508345,0.234227540927,0.303102548399,0.570685651920,-0.095778662216,0.757148056665,0.617627596665,-0.920911961057,1.312282489586,0.333546575284,-0.521364448971,0.701278441846,0.109395497212,-0.115689450523,0.231009657379,0.017900153572,0.008188601002,-0.106737812276,7.933048777199e-05,6.866535599599e-05,7
27,1.350000000000,0.205000000000,0.200000000000,0.000000000000,0.000000000000,0.102500000000,0.100000000000,-0.319462121751,-0.451955508345,0.234227540927,0.301751081266,0.569809187482,-0.095125551943,0.758429234790,0.623133485664,-0.926640518483,1.323741597180,0.334525852094,-0.520940525682,0.695880473228,0.110849821257,-0.113457580166,0.227383947938,0.021271833715,0.008764516261,-0.109210985553,7.933726615535e-05,6.866936892652e-05,7
28,1.400000000000,0.215000000000,0.200000000000,0.000000000000,0.000000000000,0.107500000000,0.100000000000,-0.314462121751,-0.451955508345,0.234227540927,0.300398207181,0.568930066237,-0.094471998136,0.759706876645,0.628712578790,-0.932257719073,1.335020884380,0.335673758656,-0.520487997345,0.690357343290,0.112323685436,-0.111234050208,0.223815024335,0.024646532710,0.009332369639,-0.111744815363,7.934384628178e-05,6.867353358951e-05,7
