sample,time,s,sDot,sDDot,sDDDot,arcLength,tcpSpeed,px,py,pz,qw,qx,qy,qz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,positionError,orientationError,ikIterations
33,1.65,0.265,0.2,0,0,0.1325,0.1,-0.289462121750543,-0.451955508344597,0.234227540926711,0.293612953488498,0.56449475182704,-0.0911976828051781,0.766041833945415,0.657740375203022,-0.958682380048627,1.38881052988693,0.34395385385546,-0.517812789526361,0.660755303399571,0.119986816750727,-0.100168755534705,0.206707551737839,0.0416409249554744,0.0120179883631444,-0.125360994679209,7.93740918605324e-05,6.86967417867054e-05,7
34,1.7,0.275,0.2,0,0,0.1375,0.1,-0.284462121750543,-0.451955508344597,0.234227540926711,0.292251770387808,0.563599776259329,-0.0905415318540646,0.767298133658062,0.663779254489,-0.963635477062714,1.39906308532224,0.346121612006119,-0.517199226979345,0.654415102946789,0.121578081426526,-0.09795314218368,0.203413609591687,0.0450771541033169,0.0125171749728037,-0.128280600708294,7.9379662789112e-05,6.87018970218402e-05,7
35,1.75,0.285,0.2,0,0,0.1425,0.1,-0.279462121750543,-0.451955508344597,0.234227540926711,0.290889224627076,0.562702172837921,-0.0898849587418552,0.768550855748216,0.669898183345675,-0.968477694266995,1.4091518908461,0.348461569265792,-0.51656107202908,0.647927243328742,0.123188752546725,-0.0957328054296615,0.200156461805683,0.0485295958910249,0.0130010815079496,-0.131267770767779,7.93850887530303e-05,6.87072554706565e-05,7
36,1.8,0.295,0.2,0,0,0.1475,0.1,-0.274462121750543,-0.451955508344597,0.234227540926711,0.28952532255934,0.561801945748005,-0.0892279665299034,0.769799994374906,0.676098129743673,-0.97320875760568,1.41907873150281,0.350974571595221,-0.51589911882855,0.641288325870011,0.124818723523897,-0.0935062759331983,0.196934001411237,0.0519995966764563,0.0134684754450853,-0.134323288363557,7.93903747384475e-05,6.87127944651965e-05,7
37,1.85,0.305,0.2,0,0,0.1525,0.1,-0.269462121750543,-0.451955508344597,0.234227540926711,0.288160070543962,0.560899099186999,-0.0885705582815167,0.771045543713867,0.682380055698064,-0.977828321860315,1.42884529098723,0.353661528933438,-0.515214224484572,0.634494914492386,0.126467862047097,-0.0912721759880929,0.193744277208099,0.0554883682570439,0.0139180707303998,-0.137447861277909,7.93955251989749e-05,6.87185365803352e-05,7
38,1.9,0.315,0.2,0,0,0.1575,0.1,-0.264462121750543,-0.451955508344597,0.234227540926711,0.286793474946598,0.559993637364538,-0.0879127370619424,0.772287497957572,0.688744915948382,-0.98233597520449,1.43845315922362,0.356523408420925,-0.51450731175551,0.62754353974222,0.128136008714643,-0.0890292187553276,0.190585485776438,0.0589969854709515,0.0143485270068799,-0.140642111552676,7.94005440846941e-05,6.87244914579748e-05,7
39,1.95,0.325,0.2,0,0,0.1625,0.1,-0.259462121750543,-0.451955508344597,0.234227540926711,0.28542554213917,0.559085564502451,-0.0872545059383532,0.773525851315256,0.695193656569529,-0.986731243735847,1.44790383956487,0.359561227480533,-0.513779371783884,0.620430703337119,0.129822975638177,-0.0867762081005353,0.187455964226229,0.0625263829238649,0.0147584490025388,-0.143906564718547,7.9405434867975e-05,6.87306493508675e-05,7
40,2,0.335,0.2,0,0,0.1675,0.1,-0.254462121750543,-0.451955508344597,0.234227540926711,0.284056278499833,0.558174884834737,-0.0865958679798334,0.774760598012943,0.7017272135122,-0.991013596014543,1.45719875564624,0.362776046713312,-0.513031466855256,0.613152883270366,0.131528545020895,-0.08451203899696,0.184354183584494,0.0660773508759532,0.0151463861037693,-0.147241638244002,7.94102005650906e-05,6.87370328168976e-05,7
41,2.05,0.345,0.2,0,0,0.1725,0.1,-0.249462121750543,-0.451955508344597,0.234227540926711,0.282685690412949,0.557261602607555,-0.0859368262573638,0.775991732293473,0.708346511071618,-0.995182447635543,1.46633925792332,0.366168962568128,-0.512264733173507,0.605706539512719,0.133252467713227,-0.0822356984580618,0.181278742727735,0.0696505303226507,0.0155108321396169,-0.150647629181112,7.94148437561907e-05,6.87436482533022e-05,7
42,2.1,0.355,0.2,0,0,0.1775,0.1,-0.244462121750543,-0.451955508344597,0.234227540926711,0.281313784269054,0.556345722079197,-0.085277383843808,0.777219248416531,0.715052460283523,-0.999237165860349,1.47532662991902,0.369741099745577,-0.511480383641294,0.598088120352254,0.134994461749698,-0.0799462669653031,0.178228362772528,0.0732464073031272,0.0158502254047089,-0.154124700990116,7.94193666009845e-05,6.87504859039682e-05,7
